time,disp_x_max,disp_y_max,disp_z_max,react_y_bot,react_y_top,stress_vm_max,stress_yy_max
0,0,0,0,0,0,0,0
1,2.4933104068342e-08,1.5873015873016e-07,2.4933104068342e-08,-21.193506447972,21.193506448017,2614641.4200545,2641140.8011866
2,4.9866208136685e-08,3.1746031746032e-07,4.9866208136685e-08,-42.387012895944,42.387012896034,5229282.840109,5282281.6023731
3,7.4799312205027e-08,4.7619047619048e-07,7.4799312205027e-08,-63.580519343916,63.580519344053,7843924.2601634,7923422.4035596
4,9.9732416273369e-08,6.3492063492063e-07,9.9732416273369e-08,-84.774025791888,84.77402579207,10458565.680218,10564563.204746
5,1.2466552034171e-07,7.9365079365079e-07,1.2466552034171e-07,-105.96753223986,105.96753224008,13073207.100272,13205704.005933
6,1.4959862441005e-07,9.5238095238095e-07,1.4959862441005e-07,-127.16103868783,127.16103868811,15687848.520327,15846844.807119
7,1.745317284784e-07,1.1111111111111e-06,1.745317284784e-07,-148.3545451358,148.35454513613,18302489.940382,18487985.608306
8,1.9946483254674e-07,1.2698412698413e-06,1.9946483254674e-07,-169.54805158378,169.54805158414,20917131.360436,21129126.409493
9,2.2439793661508e-07,1.4285714285714e-06,2.2439793661508e-07,-190.74155803175,190.74155803216,23531772.780491,23770267.210679
10,2.4933104068342e-07,1.5873015873016e-06,2.4933104068342e-07,-211.93506447972,211.93506448016,26146414.200545,26411408.011866
11,2.7426414475177e-07,1.7460317460317e-06,2.7426414475177e-07,-233.12857092769,233.1285709282,28761055.6206,29052548.813053
12,2.9919724882011e-07,1.9047619047619e-06,2.9919724882011e-07,-254.32207737567,254.32207737622,31375697.040655,31693689.61424
13,3.2413035288845e-07,2.0634920634921e-06,3.2413035288845e-07,-275.51558382364,275.51558382424,33990338.460709,34334830.415426
14,3.4906345695679e-07,2.2222222222222e-06,3.4906345695679e-07,-296.70909027161,296.70909027226,36604979.880764,36975971.216613
15,3.7399656102513e-07,2.3809523809524e-06,3.7399656102513e-07,-317.90259671958,317.90259672027,39219621.300818,39617112.0178
16,3.9892966509348e-07,2.5396825396825e-06,3.9892966509348e-07,-339.09610316755,339.09610316829,41834262.720873,42258252.818987
17,4.2386276916182e-07,2.6984126984127e-06,4.2386276916182e-07,-360.28960961553,360.2896096163,44448904.140928,44899393.620173
18,4.4879587323016e-07,2.8571428571429e-06,4.4879587323016e-07,-381.4831160635,381.48311606433,47063545.560982,47540534.42136
